"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"12200186",6590.86991720053,6197.653567,74.2631578947368,19,11-11-24,"Consider Replacement",1647.71747930013
"12200187",577.092821739895,281.686666,243,2,5-01-24,"Monitor Closely",57.7092821739895
"12200188",588.228381238141,1425.99815,0,4,11-11-24,"Keep as-it is",0
"12200189",0,110.875,0,2,12-11-24,"Keep as-it is",0
"12200190",1172.10340207701,973.743267,18,5,4-03-24,"Keep as-it is",0
"12200191",3357.93062503894,4505.27525,114.625,8,9-12-24,"Monitor Closely",335.793062503894
"12200192",2601.51309407283,2435.86125,34.8571428571429,7,12-03-24,"Monitor Closely",260.151309407284
"12200193",5401.16605467572,3214.6373,0,11,10-09-24,"Monitor Closely",540.116605467572
"12200194",3185.75126491186,3205.8928,5.9,10,12-05-24,"Monitor Closely",318.575126491186
"12200195",5102.00409374903,2524.026675,46,14,11-08-24,"Monitor Closely",510.200409374903
"12200196",1940.68994419904,4706.772222,36.6,5,12-11-24,"Monitor Closely",194.068994419904
"12200197",1499.04095436954,937.880209,0,4,12-10-24,"Keep as-it is",0
"12200198",1754.88533181927,2097.007794,30.5,4,10-08-24,"Monitor Closely",175.488533181927
"12200199",1995.36402982807,1372.566322,20.6666666666667,6,10-11-24,"Monitor Closely",199.536402982807
"12200200",4315.18851165179,4505.060029,53,8,12-09-24,"Monitor Closely",431.518851165179
"12200201",5450.48284436229,4587.525944,54,9,12-04-24,"Consider Replacement",1362.62071109057
"12200202",4667.75871006836,6236.200403,3.75,8,11-06-24,"Monitor Closely",466.775871006836
"12200203",2313.13035876716,2275.4991,6.88888888888889,9,10-02-24,"Keep as-it is",0
"12200204",1550.14945745515,1605.0385,0,2,3-05-24,"Keep as-it is",0
"12200205",1006.94232897255,646.44105,0,2,4-11-24,"Keep as-it is",0
"12200206",5436.93192287021,5386.40925,4.91666666666667,12,11-11-24,"Monitor Closely",543.693192287021
"12200207",3510.08577962388,5289.45,0,7,12-03-24,"Monitor Closely",351.008577962388
"12200208",3742.92855661955,5848.12535,0,8,12-12-24,"Monitor Closely",374.292855661955
"12200209",5380.94816650684,4882.16645,23.6153846153846,13,12-03-24,"Monitor Closely",538.094816650684
"12200210",1880.07690101794,4039.623,4.28571428571429,7,12-11-24,"Keep as-it is",0
"12200211",3462.328289514,4685.720663,20.2222222222222,9,10-11-24,"Monitor Closely",346.2328289514
"12200212",861.42645033546,1302.164169,0,2,10-01-24,"Keep as-it is",0
"12200213",4174.26792740196,3591.51657,39.75,16,11-04-24,"Monitor Closely",417.426792740196
"12200214",6439.0143944873,2788.6855,8.45454545454546,11,12-06-24,"Monitor Closely",643.90143944873
"12200215",2222.54551492515,844.327777,15.3333333333333,6,12-06-24,"Keep as-it is",0
"12200219",10200.4291472766,7177.054445,27.64,25,12-03-24,"Monitor Closely",1020.04291472766
"12200221",10628.3382267525,10968.385557,6.81818181818182,22,12-07-24,"Monitor Closely",1062.83382267525
"12200222",5872.09253860175,4094.431111,19.8333333333333,12,10-07-24,"Monitor Closely",587.209253860175
"12200223",2787.76136091182,5807.821111,38.5714285714286,7,11-06-24,"Monitor Closely",278.776136091182
"12200224",4307.04530111028,2323.775554,10.1333333333333,15,11-03-24,"Monitor Closely",430.704530111028
"12200225",5866.50126383835,7635.497776,18.4615384615385,13,11-11-24,"Monitor Closely",586.650126383835
"12200226",6738.44527969046,2702.092222,8.26666666666667,15,12-09-24,"Monitor Closely",673.844527969046
"12200228",6995.72890057085,8259.782222,0,16,11-04-24,"Monitor Closely",699.572890057085
"12200229",1927.12373468743,2637.915777,20.6666666666667,3,9-05-24,"Monitor Closely",192.712373468743
"12200230",5974.59018329052,5002.1704,66.1818181818182,11,6-03-24,"Consider Replacement",1493.64754582263
"12200231",3254.29815676529,3616.207711,60.8333333333333,6,8-08-24,"Monitor Closely",325.42981567653
"12200232",2491.56518264584,2675.322556,0,4,11-11-24,"Keep as-it is",0
"12200233",3280.55120818025,3526.593134,0,5,11-01-24,"Monitor Closely",328.055120818025
"12200234",2764.38188317586,2944.242579,5,6,12-12-24,"Keep as-it is",0
"12200235",2142.54074394075,3571.8472,0,2,8-01-24,"Keep as-it is",0
"12200236",2969.69022830628,2824.686245,30,6,11-01-24,"Monitor Closely",296.969022830628
"12200237",2162.70837305333,2533.1765,81.6666666666667,3,8-06-24,"Monitor Closely",216.270837305333
"12200238",2269.78510366368,1510.611134,0,5,12-03-24,"Keep as-it is",0
"12200239",5677.02411273826,4188.800823,14.4,15,12-12-24,"Monitor Closely",567.702411273826
"12200240",2570.71605861161,2344.044869,40.3333333333333,6,12-10-24,"Monitor Closely",257.071605861161
"12200241",2543.82285790735,1441.624111,0,9,9-10-24,"Keep as-it is",0
"12200242",3327.62288099119,4187.580113,8.27272727272727,11,11-04-24,"Monitor Closely",332.762288099119
"12200243",2688.57888101526,2544.938912,0,6,12-06-24,"Keep as-it is",0
"12200244",877.178564424965,1883.8854,0,3,7-11-24,"Keep as-it is",0
"12200245",2712.37408371333,3286.289068,0,8,10-08-24,"Keep as-it is",0
"12200246",397.577447087723,523.57,0,2,8-06-24,"Keep as-it is",0
"12200247",2490.93220003627,1795.73,121,4,8-12-24,"Monitor Closely",249.093220003627
"12200267",625.003899436031,1423.296367,76.5,2,4-04-24,"Monitor Closely",62.5003899436031
"12200500",6450.05522028288,7925.291112,24.875,16,12-04-24,"Monitor Closely",645.005522028288
"12200501",6619.64176819942,5564.966668,15.2,20,12-05-24,"Monitor Closely",661.964176819942
"12200504",7099.44871919931,5994.2969,10,12,5-07-24,"Monitor Closely",709.944871919931
"12200505",5670.24029696678,5798.235525,22.5,12,12-11-24,"Monitor Closely",567.024029696678
"12200506",2068.91391969058,1559.12205,0,6,10-08-24,"Keep as-it is",0
"12200507",181.448628465157,322,30,1,11-06-24,"Monitor Closely",18.1448628465157
"12200508",1010.94146618233,1158.999525,7.75,4,10-08-24,"Keep as-it is",0
"12200509",3192.42670939682,4682.018675,20.7142857142857,7,8-12-24,"Monitor Closely",319.242670939682
"12200510",863.871940608888,288.087778,23.25,4,12-12-24,"Monitor Closely",86.3871940608888
"12200511",443.537187444668,724.087199,78.4,5,11-06-24,"Monitor Closely",44.3537187444668
"12200512",2801.71121638437,1991.715,38.25,4,11-01-24,"Monitor Closely",280.171121638437
"12200513",1254.99883237071,2275.7299,84,4,7-05-24,"Monitor Closely",125.499883237071
"12200514",2205.56516147899,2360.9592,33.3636363636364,11,12-09-24,"Monitor Closely",220.556516147899
"12200515",1017.45782823398,725.939064,20.1666666666667,6,12-12-24,"Monitor Closely",101.745782823398
"12200516",4443.61798982636,3414.89,30.5,8,12-05-24,"Monitor Closely",444.361798982636
"12200517",3906.09272353538,3472.467425,0,7,9-09-24,"Monitor Closely",390.609272353538
